# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
161             	6.10634566e-02	-9.55554671e-19	-3.93006460e-01	1.96503230e-01	2.03315911e-01	3.05317283e-02	2.27034958e-01	-1.65971501e-01	3.05317283e-02	-3.05317283e-02	6.81268114e-03	-3.99819141e-01
162             	6.08920379e-02	-9.55549668e-19	-3.93179041e-01	1.96589520e-01	2.03454418e-01	3.04460190e-02	2.27035539e-01	-1.66143501e-01	3.04460190e-02	-3.04460190e-02	6.86489709e-03	-4.00043938e-01
163             	6.07274636e-02	-9.55545307e-19	-3.93299029e-01	1.96649514e-01	2.03567558e-01	3.03637318e-02	2.27013246e-01	-1.66285783e-01	3.03637318e-02	-3.03637318e-02	6.91804370e-03	-4.00217073e-01
164             	6.05607100e-02	-9.55540550e-19	-3.93450828e-01	1.96725414e-01	2.03686128e-01	3.02803550e-02	2.27005769e-01	-1.66445059e-01	3.02803550e-02	-3.02803550e-02	6.96071337e-03	-4.00411542e-01
165             	6.03984589e-02	-9.55536326e-19	-3.93552997e-01	1.96776499e-01	2.03781498e-01	3.01992295e-02	2.26975728e-01	-1.66577269e-01	3.01992295e-02	-3.01992295e-02	7.00499901e-03	-4.00557996e-01
166             	6.02313251e-02	-9.55531592e-19	-3.93688925e-01	1.96844462e-01	2.03883069e-01	3.01156625e-02	2.26960125e-01	-1.66728800e-01	3.01156625e-02	-3.01156625e-02	7.03860625e-03	-4.00727531e-01
167             	6.00694930e-02	-9.55527253e-19	-3.93771791e-01	1.96885896e-01	2.03959474e-01	3.00347465e-02	2.26920642e-01	-1.66851149e-01	3.00347465e-02	-3.00347465e-02	7.07357857e-03	-4.00845370e-01
168             	5.99063067e-02	-9.55522579e-19	-3.93890445e-01	1.96945222e-01	2.04043094e-01	2.99531533e-02	2.26898376e-01	-1.66992069e-01	2.99531533e-02	-2.99531533e-02	7.09787189e-03	-4.00988316e-01
169             	5.97504610e-02	-9.55518391e-19	-3.93960863e-01	1.96980431e-01	2.04104134e-01	2.98752305e-02	2.26855662e-01	-1.67105201e-01	2.98752305e-02	-2.98752305e-02	7.12370279e-03	-4.01084565e-01
170             	5.95918209e-02	-9.55513975e-19	-3.94067099e-01	1.97033550e-01	2.04172530e-01	2.97959105e-02	2.26829460e-01	-1.67237639e-01	2.97959105e-02	-2.97959105e-02	7.13898022e-03	-4.01206079e-01
