# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
171             	8.65534502e-02	-2.84644309e-19	-8.00316952e-01	4.00158476e-01	3.56818713e-01	4.32767251e-02	4.43435201e-01	-3.56881751e-01	4.32767251e-02	-4.32767251e-02	-4.33397634e-02	-7.56977189e-01
172             	8.65690525e-02	-2.84635484e-19	-8.01574564e-01	4.00787282e-01	3.57145200e-01	4.32845263e-02	4.44071808e-01	-3.57502756e-01	4.32845263e-02	-4.32845263e-02	-4.36420820e-02	-7.57932482e-01
173             	8.65767937e-02	-2.84612132e-19	-8.02750138e-01	4.01375069e-01	3.57439319e-01	4.32883969e-02	4.44663466e-01	-3.58086672e-01	4.32883969e-02	-4.32883969e-02	-4.39357503e-02	-7.58814388e-01
174             	8.65794378e-02	-2.84576733e-19	-8.03910366e-01	4.01955183e-01	3.57728725e-01	4.32897189e-02	4.45244902e-01	-3.58665464e-01	4.32897189e-02	-4.32897189e-02	-4.42264574e-02	-7.59683908e-01
175             	8.65783509e-02	-2.84536772e-19	-8.05138665e-01	4.02569332e-01	3.58038205e-01	4.32891754e-02	4.45858508e-01	-3.59280157e-01	4.32891754e-02	-4.32891754e-02	-4.45311275e-02	-7.60607537e-01
176             	8.65696637e-02	-2.84486776e-19	-8.06274046e-01	4.03137023e-01	3.58312440e-01	4.32848319e-02	4.46421855e-01	-3.59852191e-01	4.32848319e-02	-4.32848319e-02	-4.48245826e-02	-7.61449463e-01
177             	8.65565361e-02	-2.84438790e-19	-8.07461439e-01	4.03730719e-01	3.58606396e-01	4.32782680e-02	4.47008987e-01	-3.60452451e-01	4.32782680e-02	-4.32782680e-02	-4.51243229e-02	-7.62337116e-01
178             	8.65441810e-02	-2.84404232e-19	-8.08746535e-01	4.04373268e-01	3.58940744e-01	4.32720905e-02	4.47645358e-01	-3.61101177e-01	4.32720905e-02	-4.32720905e-02	-4.54325240e-02	-7.63314011e-01
179             	8.65438034e-02	-2.84374888e-19	-8.10084520e-01	4.05042260e-01	3.59309042e-01	4.32719017e-02	4.48314162e-01	-3.61770358e-01	4.32719017e-02	-4.32719017e-02	-4.57332179e-02	-7.64351302e-01
180             	8.65421541e-02	-2.84350066e-19	-8.11412705e-01	4.05706353e-01	3.59677331e-01	4.32710771e-02	4.48977430e-01	-3.62435276e-01	4.32710771e-02	-4.32710771e-02	-4.60290215e-02	-7.65383684e-01
