# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 9.46572765e-02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
148             	1.01947101e-01	1.74087897e-19	-8.10670585e-01	4.05335293e-01	3.51607312e-01	5.09735505e-02	4.56308843e-01	-3.54361742e-01	5.09735505e-02	-5.09735505e-02	-5.37279809e-02	-7.56942604e-01
149             	1.01942657e-01	1.73991206e-19	-8.10563731e-01	4.05281865e-01	3.51673877e-01	5.09713285e-02	4.56253194e-01	-3.54310537e-01	5.09713285e-02	-5.09713285e-02	-5.36079886e-02	-7.56955742e-01
150             	1.01854997e-01	1.73920129e-19	-8.10226369e-01	4.05113185e-01	3.51648825e-01	5.09274983e-02	4.56040683e-01	-3.54185686e-01	5.09274983e-02	-5.09274983e-02	-5.34643595e-02	-7.56762010e-01
151             	1.01865024e-01	1.73848160e-19	-8.09937260e-01	4.04968630e-01	3.51635719e-01	5.09325122e-02	4.55901142e-01	-3.54036118e-01	5.09325122e-02	-5.09325122e-02	-5.33329110e-02	-7.56604349e-01
152             	1.01777970e-01	1.73776274e-19	-8.09543209e-01	4.04771604e-01	3.51593370e-01	5.08889850e-02	4.55660589e-01	-3.53882619e-01	5.08889850e-02	-5.08889850e-02	-5.31782344e-02	-7.56364974e-01
153             	1.01795211e-01	1.73704755e-19	-8.09135996e-01	4.04567998e-01	3.51539183e-01	5.08976056e-02	4.55465604e-01	-3.53670393e-01	5.08976056e-02	-5.08976056e-02	-5.30288157e-02	-7.56107181e-01
154             	1.01689707e-01	1.73633333e-19	-8.08623666e-01	4.04311833e-01	3.51442742e-01	5.08448536e-02	4.55156687e-01	-3.53466980e-01	5.08448536e-02	-5.08448536e-02	-5.28690909e-02	-7.55754575e-01
155             	1.01703297e-01	1.73562567e-19	-8.08116661e-01	4.04058331e-01	3.51348895e-01	5.08516484e-02	4.54909979e-01	-3.53206682e-01	5.08516484e-02	-5.08516484e-02	-5.27094357e-02	-7.55407225e-01
156             	1.01589752e-01	1.73492102e-19	-8.07608918e-01	4.03804459e-01	3.51242837e-01	5.07948759e-02	4.54599335e-01	-3.53009583e-01	5.07948759e-02	-5.07948759e-02	-5.25616221e-02	-7.55047296e-01
157             	1.01603465e-01	1.73422250e-19	-8.07100766e-01	4.03550383e-01	3.51139020e-01	5.08017327e-02	4.54352116e-01	-3.52748650e-01	5.08017327e-02	-5.08017327e-02	-5.24113630e-02	-7.54689403e-01
158             	1.01477427e-01	1.73352793e-19	-8.06711204e-01	4.03355602e-01	3.51058711e-01	5.07387135e-02	4.54094315e-01	-3.52616888e-01	5.07387135e-02	-5.07387135e-02	-5.22968910e-02	-7.54414313e-01
159             	1.01499833e-01	1.73284058e-19	-8.06374320e-01	4.03187160e-01	3.51011910e-01	5.07499164e-02	4.53937077e-01	-3.52437244e-01	5.07499164e-02	-5.07499164e-02	-5.21752501e-02	-7.54199070e-01
160             	1.01387939e-01	1.73215621e-19	-8.06330384e-01	4.03165192e-01	3.51048224e-01	5.06939697e-02	4.53859162e-01	-3.52471222e-01	5.06939697e-02	-5.06939697e-02	-5.21169683e-02	-7.54213415e-01
