# ccx tau_xx tau_yy tau_zz cp yplus
0.412024 -2.76756e-05 -4.16171e-06 1.76103e-21 -2.01464 0.712632
0.409061 -2.90456e-05 -4.04872e-06 -1.78075e-21 -2.03693 0.731427
0.40611 -2.89037e-05 -4.20029e-06 6.75909e-38 -2.06745 0.725056
0.403175 -2.94289e-05 -4.28672e-06 1.40544e-23 -2.09803 0.726798
0.400253 -2.99596e-05 -4.38645e-06 -2.07042e-27 -2.13012 0.728505
0.397343 -3.04864e-05 -4.53611e-06 3.61456e-21 -2.16297 0.730138
0.394449 -3.18311e-05 -4.63059e-06 -4.04076e-39 -2.1997 0.740999
0.391567 -3.3892e-05 -4.52544e-06 -9.64273e-38 -2.2312 0.762762
0.388696 -3.46806e-05 -4.50742e-06 1.82313e-21 -2.25742 0.770557
0.38584 -3.48179e-05 -4.63832e-06 1.44311e-23 -2.28883 0.767467
0.382997 -3.53623e-05 -4.73007e-06 1.83899e-21 -2.32093 0.768719
0.380167 -3.59657e-05 -4.83066e-06 1.87709e-21 -2.35432 0.770511
0.377351 -3.65072e-05 -4.99765e-06 -1.87241e-21 -2.38855 0.77165
0.374548 -3.81936e-05 -5.04244e-06 -3.00901e-27 -2.42758 0.784223
0.371756 -4.01071e-05 -4.90782e-06 2.29589e-41 -2.45708 0.802687
0.368978 -4.06026e-05 -4.95798e-06 -1.4819e-23 -2.48647 0.80516
0.366214 -4.09471e-05 -5.07525e-06 1.9187e-21 -2.51922 0.803994
0.36346 -4.15446e-05 -5.1718e-06 3.67342e-39 -2.55297 0.80521
0.360722 -4.22105e-05 -5.27671e-06 1.50269e-23 -2.58787 0.806998
0.357997 -4.28143e-05 -5.44876e-06 -1.50818e-23 -2.62384 0.808194
0.355282 -4.45941e-05 -5.48279e-06 1.51305e-23 -2.66463 0.819915
0.352582 -4.65076e-05 -5.34399e-06 -2.15031e-27 -2.69532 0.836234
0.349895 -4.70084e-05 -5.4105e-06 1.94091e-21 -2.72677 0.837966
0.347218 -4.74347e-05 -5.53275e-06 -1.53386e-23 -2.76145 0.837272
0.344555 -4.80864e-05 -5.6388e-06 -1.96061e-21 -2.79729 0.838482
0.341907 -4.88095e-05 -5.75598e-06 -3.34444e-27 -2.83451 0.840235
0.339269 -4.94649e-05 -5.95966e-06 3.98241e-21 -2.87317 0.841422
0.336644 -5.15772e-05 -6.00291e-06 -1.56313e-23 -2.91789 0.854415
0.334033 -5.4318e-05 -5.74438e-06 4.02029e-21 -2.9509 0.876388
