# ccx tau_xx tau_yy tau_zz cp yplus
0.326269 -5.49728e-05 -5.85797e-06 -1.59466e-23 -2.92015 0.872385
0.323707 -5.5712e-05 -5.94687e-06 -3.2785e-27 -2.95645 0.873911
0.321156 -5.61659e-05 -6.14326e-06 -2.05676e-21 -2.99302 0.873258
0.318618 -5.73371e-05 -6.42912e-06 2.06981e-21 -3.03734 0.878123
0.316094 -6.16594e-05 -6.08719e-06 2.05929e-21 -3.08475 0.909151
0.313579 -6.41614e-05 -5.62496e-06 1.05803e-21 -3.10344 0.93133
0.311076 -6.35462e-05 -5.83247e-06 -1.83671e-40 -3.13413 0.92298
0.308588 -6.39858e-05 -5.93253e-06 1.64549e-23 -3.1659 0.922222
0.30611 -6.46168e-05 -6.01712e-06 -1.07393e-21 -3.20034 0.92279
0.303644 -6.52338e-05 -6.08783e-06 -6.32047e-38 -3.23447 0.923205
0.301191 -6.48133e-05 -6.60927e-06 -1.06894e-21 -3.27012 0.916647
0.298752 -6.947e-05 -6.4013e-06 -5.51013e-40 -3.33281 0.944566
0.296321 -7.42739e-05 -5.47776e-06 -8.66468e-38 -3.34481 0.983921
0.293903 -7.34427e-05 -5.62476e-06 -1.08183e-21 -3.36862 0.976464
0.291498 -7.35417e-05 -5.72423e-06 1.08758e-21 -3.39502 0.973606
0.289105 -7.39053e-05 -5.81252e-06 -1.70649e-23 -3.42403 0.972487
0.286722 -7.44829e-05 -5.88021e-06 -1.09682e-21 -3.45421 0.972746
0.284352 -7.48123e-05 -6.05326e-06 2.70934e-27 -3.48506 0.971437
0.281996 -7.59628e-05 -6.25176e-06 2.23436e-21 -3.52335 0.975407
0.27965 -7.96483e-05 -5.89429e-06 3.30608e-39 -3.56225 0.997556
0.277314 -8.16965e-05 -5.49988e-06 -1.11789e-21 -3.57797 1.01223
0.274992 -8.12887e-05 -5.67062e-06 1.12465e-21 -3.60359 1.0065
0.272682 -8.17688e-05 -5.73743e-06 -1.12084e-21 -3.62995 1.00624
0.270383 -8.23283e-05 -5.80881e-06 1.12575e-21 -3.65802 1.00645
0.268095 -8.29854e-05 -5.87454e-06 -1.14981e-21 -3.68679 1.00724
0.265821 -8.35242e-05 -6.00701e-06 8.96376e-24 -3.71654 1.00733
0.263558 -8.48184e-05 -6.05553e-06 1.15198e-21 -3.7511 1.01187
0.261305 -8.6545e-05 -5.9366e-06 -2.29589e-40 -3.78038 1.02032
0.259064 -8.73393e-05 -5.94466e-06 1.37733e-27 -3.80794 1.02275
0.256836 -8.78417e-05 -6.04001e-06 2.57139e-39 -3.83811 1.02259
0.25462 -8.85123e-05 -6.1273e-06 2.34141e-21 -3.86964 1.0234
0.252414 -8.92966e-05 -6.1997e-06 9.22412e-24 -3.90291 1.02483
0.25022 -8.99662e-05 -6.27642e-06 -9.27485e-24 -3.93643 1.02557
0.248038 -8.99333e-05 -6.64737e-06 1.92698e-27 -3.97186 1.02246
0.245868 -9.34456e-05 -6.54881e-06 1.65905e-27 -4.02702 1.03899
0.243708 -9.76249e-05 -5.86411e-06 2.41585e-21 -4.04915 1.06468
0.241559 -9.74832e-05 -5.89535e-06 -6.0483e-22 -4.07422 1.06287
0.239423 -9.72543e-05 -6.04744e-06 1.22679e-21 -4.10503 1.05887
0.237299 -9.73183e-05 -6.19816e-06 -6.21157e-22 -4.13992 1.05649
0.235185 -9.7732e-05 -6.28636e-06 -1.22907e-21 -4.17981 1.05598
0.233081 -9.75272e-05 -6.42464e-06 -6.17473e-22 -4.21937 1.05214
0.23099 -9.47907e-05 -7.72643e-06 6.21589e-22 -4.26693 1.03513
0.228911 -0.000108033 -6.86175e-06 -2.54384e-38 -4.3941 1.10155
0.226842 -0.000122342 -3.50049e-06 3.58732e-42 -4.36474 1.1927
0.224783 -0.000118027 -3.48084e-06 -9.80015e-24 -4.35844 1.17639
0.222734 -0.000115124 -3.79192e-06 9.86066e-24 -4.36718 1.16026
0.220698 -0.000113176 -4.0611e-06 -3.17736e-22 -4.38628 1.14885
0.218674 -0.000112298 -4.19252e-06 -3.29418e-22 -4.41617 1.1428
0.21666 -0.00011111 -4.28893e-06 -3.11067e-22 -4.44645 1.13512
0.214657 -0.000105001 -6.24159e-06 -1.96298e-38 -4.48224 1.10243
0.212664 -0.000121845 -5.17566e-06 4.1774e-38 -4.65087 1.18544
0.210684 -0.000148588 1.28165e-06 1.01019e-23 -4.61443 1.34093
0.208714 -0.000145762 2.88952e-06 -1.01469e-23 -4.52484 1.3466
0.206755 -0.000136508 1.82001e-06 -1.63479e-22 -4.49329 1.30359
0.204807 -0.000132046 1.39083e-06 1.64593e-22 -4.47478 1.28263
0.202869 -0.000128598 1.02999e-06 1.55265e-22 -4.4725 1.26624
0.200943 -0.000125768 7.96663e-07 1.0428e-23 -4.47861 1.25265
0.199029 -0.000119812 -5.27697e-07 -1.67879e-22 -4.4898 1.22303
0.197126 -0.000124679 -1.29657e-06 -1.6807e-22 -4.58682 1.24793
0.195233 -0.000157621 5.5682e-06 1.04658e-23 -4.67397 1.42363
0.193352 -0.000168661 1.19336e-05 6.21191e-27 -4.47531 1.51067
0.191482 -0.000151233 9.10327e-06 -2.11704e-23 -4.41495 1.43285
0.189624 -0.000145874 8.58306e-06 -6.73033e-22 -4.35679 1.41021
0.187778 -0.000140502 7.8773e-06 9.18355e-41 -4.32096 1.38674
0.185942 -0.000137311 7.58315e-06 4.59177e-41 -4.29784 1.37366
0.184116 -0.000132976 7.10596e-06 -6.86498e-22 -4.2743 1.35438
0.182301 -0.000121988 3.96509e-06 -7.2417e-22 -4.26183 1.29923
0.180496 -0.000149719 8.47488e-06 1.08996e-23 -4.45135 1.4428
0.178705 -0.000173232 1.80733e-05 1.40222e-21 -4.22899 1.59521
0.176927 -0.000154239 1.5001e-05 -3.89929e-27 -4.15278 1.51209
0.17516 -0.000147983 1.4233e-05 1.42324e-21 -4.07853 1.48589
0.173403 -0.000141548 1.32665e-05 1.12044e-23 -4.0287 1.45767
0.171657 -0.000136988 1.26291e-05 -2.25681e-23 -3.99141 1.4384
0.169921 -0.000132888 1.2093e-05 2.90865e-21 -3.96532 1.42099
0.168195 -0.000125422 1.04702e-05 1.1443e-23 -3.94058 1.38425
0.166479 -0.000127708 9.9915e-06 -1.46552e-21 -4.0014 1.40072
0.164776 -0.000163935 1.89256e-05 5.68573e-24 -4.08053 1.60769
0.163089 -0.000175869 2.68753e-05 -5.70641e-24 -3.82667 1.704
0.161415 -0.000154131 2.22938e-05 1.47401e-21 -3.73828 1.60111
0.15975 -0.000147504 2.12941e-05 7.34684e-40 -3.64652 1.57331
0.158097 -0.000140317 1.9984e-05 1.10203e-39 -3.58097 1.54097
0.156453 -0.000135398 1.91544e-05 -1.51918e-21 -3.52751 1.52012
0.154819 -0.000130722 1.83336e-05 -1.16983e-27 -3.48312 1.49981
0.153196 -0.000122415 1.63093e-05 6.0009e-24 -3.44166 1.45678
0.151582 -0.000132377 1.81411e-05 3.06152e-21 -3.50952 1.52152
0.149982 -0.000158958 2.68891e-05 -7.05297e-38 -3.45762 1.69166
0.148397 -0.000158077 2.98187e-05 5.99927e-24 -3.28092 1.71009
0.146825 -0.000143479 2.6525e-05 -1.55623e-21 -3.19083 1.63693
0.145263 -0.000137118 2.52986e-05 -6.1167e-24 -3.10703 1.60842
0.143711 -0.000131113 2.40508e-05 1.58498e-21 -3.04029 1.58058
0.142169 -0.000126614 2.31475e-05 -1.59135e-21 -2.98393 1.56086
0.140637 -0.000122517 2.22885e-05 -1.60336e-21 -2.9349 1.54279
0.139114 -0.000116363 2.0804e-05 4.73871e-38 -2.88979 1.51042
0.137602 -0.000122053 2.21328e-05 6.30312e-24 -2.91155 1.55466
0.136101 -0.000139621 2.81516e-05 -6.2933e-24 -2.86549 1.67995
0.134614 -0.000138612 3.00165e-05 -1.61467e-21 -2.7322 1.69092
0.13314 -0.00012734 2.73011e-05 2.03613e-27 -2.6603 1.62897
0.131676 -0.000122195 2.61887e-05 -6.45387e-24 -2.59185 1.60428
0.130221 -0.000117085 2.5017e-05 -1.65995e-21 -2.53646 1.57856
0.128776 -0.000113048 2.41108e-05 -1.68656e-21 -2.48923 1.55911
0.127341 -0.000109697 2.3343e-05 1.69296e-21 -2.45005 1.54362
0.125915 -0.000105054 2.21746e-05 -1.7064e-21 -2.41225 1.51798
0.124499 -0.000104593 2.21247e-05 -6.671e-24 -2.41016 1.52234
0.123094 -0.000126028 2.8482e-05 6.61562e-24 -2.43827 1.68373
0.121705 -0.000133243 3.35552e-05 -1.69657e-21 -2.27646 1.75016
0.120329 -0.000118084 2.95119e-05 -1.7206e-21 -2.21401 1.65629
0.118963 -0.000113652 2.84759e-05 -6.79623e-24 -2.14379 1.6342
0.117607 -0.000108249 2.70865e-05 -1.75598e-21 -2.09049 1.60364
0.116259 -0.000104356 2.61061e-05 0 -2.04229 1.58313
