# ccx tau_xx tau_yy tau_zz cp yplus
0.982587 -1.65564e-05 -1.40942e-06 -1.95922e-20 0.121907 0.228646
0.948891 -1.98085e-05 -3.10085e-06 -4.16294e-20 0.26519 0.247184
0.917145 -1.53598e-05 -1.89983e-06 2.2022e-20 0.281154 0.219594
0.886801 -1.42158e-05 -1.21865e-06 -2.19743e-26 0.307479 0.21316
0.857561 -1.2493e-05 -6.21237e-07 2.27643e-26 0.31008 0.20134
0.829308 -1.16844e-05 -1.73448e-07 1.43493e-41 0.300681 0.195957
0.802059 -1.11183e-05 1.51085e-07 3.21129e-21 0.285532 0.192012
0.775774 -1.12764e-05 4.13461e-07 -6.62989e-21 0.254455 0.193969
0.750274 -1.20249e-05 5.7565e-07 2.59774e-26 0.226449 0.20053
0.725449 -1.31921e-05 6.90649e-07 -1.14794e-41 0.190717 0.210064
0.701392 -1.46462e-05 7.19984e-07 7.2551e-21 0.165119 0.221147
0.678087 -1.58361e-05 6.79824e-07 4.59177e-41 0.143083 0.229674
0.655328 -1.67847e-05 6.09165e-07 2.90261e-26 0.129227 0.236161
0.633182 -1.73675e-05 5.42813e-07 -3.00245e-26 0.118363 0.239993
0.6117 -1.77808e-05 4.89648e-07 -3.08458e-26 0.109595 0.242648
0.590708 -1.81421e-05 4.44554e-07 -8.24338e-21 0.100715 0.244945
0.570278 -1.85782e-05 3.91976e-07 -3.25734e-26 0.0922036 0.247707
0.550444 -1.90382e-05 3.23854e-07 2.18654e-21 0.0855776 0.250574
0.531024 -1.93979e-05 2.51619e-07 2.22679e-21 0.0812371 0.252759
0.512152 -1.96291e-05 1.90968e-07 -1.1581e-21 0.0778563 0.254124
0.493828 -1.98314e-05 1.40371e-07 1.18061e-21 0.07422 0.25532
0.475873 -2.00512e-05 8.70331e-08 8.60958e-42 0.070644 0.256625
0.458438 -2.04239e-05 2.30494e-08 -1.86092e-42 0.0660186 0.258881
0.441482 -2.07868e-05 -6.48143e-08 3.18745e-22 0.0652641 0.261027
0.424897 -2.09471e-05 -1.33801e-07 6.54482e-22 0.0651918 0.26193
0.408797 -2.1078e-05 -1.87457e-07 -2.70666e-21 0.0649811 0.26268
0.393117 -2.11718e-05 -2.3512e-07 1.37948e-21 0.0650708 0.263212
0.377809 -2.13429e-05 -2.82214e-07 2.86986e-42 0.0635099 0.26423
0.36296 -2.16226e-05 -3.47286e-07 -4.47341e-26 0.0629993 0.265896
0.348496 -2.1845e-05 -4.17761e-07 4.56666e-26 0.0635623 0.2672
0.334389 -2.19606e-05 -4.79168e-07 -4.7028e-26 0.0647474 0.267868
0.320715 -2.2244e-05 -5.44305e-07 -3.18531e-21 0.063845 0.26956
0.307417 -2.25993e-05 -6.41609e-07 6.51511e-21 0.0666435 0.271645
0.29444 -2.26781e-05 -7.11987e-07 -5.10292e-26 0.0709389 0.272097
0.281873 -2.27526e-05 -7.56476e-07 1.46937e-38 0.0739313 0.272563
